index,name,party,fb_id,
143,Dr. Szabó Tünde,Fidesz,dr.szabotunde.hu,
144,Dr. Szakács László,MSZP,dr.szakacs.laszlo,
145,Dr. Szél Bernadett,független,szelbernadett,
146,Dr. Szűcs Lajos,Fidesz,dr.szucs.lajos,
147,Dr. Tapolczai Gergely,Fidesz,TapolczaiGergely,
148,Dr. Tiba István,Fidesz,drtibaistvan,
149,Dr. Tilki Attila,Fidesz,drtilkiattila,
150,Dr. Tóth Bertalan,MSZP,dr.toth.bertalan.mszp,
151,Dr. Turi-Kovács Béla,Fidesz,-,
152,Dr. Vadai Ágnes,DK,vadaiagnes,
153,Dr. Varga László,MSZP,Varga.Laszlo.Miskolc,
154,Dr. Varga-Damm Andrea,független,drdamm,
155,Dr. Vejkey Imre,KDNP,-,
156,Dr. Vinnai Győző,Fidesz,vinnai.gyozo,
157,Dr. Vitányi István,Fidesz,drvitanyiistvan,
158,Dr. Völner Pál,Fidesz,volnerpal,
159,Dr. Zombor Gábor,Fidesz,gabor.zombor,
160,Dr. Zsigmond Barna Pál,Fidesz,zsigmond.barna.pal,
161,Farkas Flórián,Fidesz,-,
162,Héjj Dávid Ádám,Fidesz,-,
163,Jakab István,Fidesz,-,
164,Kövér László,Fidesz,-,
165,Mátrai Márta,Fidesz,-,
166,Nacsa Lőrinc,KDNP,NacsaLorinc,
167,Rogán Antal,Fidesz,-,
168,Simon Róbert Balázs,Fidesz,SimonRobertBalazs,
169,Simonka György,Fidesz,simonkagy,
170,Sneider Tamás,független,sneider.tamas,
171,Soltész Miklós,KDNP,SolteszMiklos.KDNP,
172,Stummer János,Jobbik,janos.stummer,
173,Süli János,KDNP,sulijanosminiszter,
174,Szabó Sándor,MSZP,szabo.sandor.szeged,
175,Szabó Szabolcs,Együtt,szaboszabolcs.egyutt,
176,Szabó Timea,Párbeszéd,szabotimeapm,
177,Szabó Zsolt,Fidesz,SZABO.ZSOLT.FIDESZ,
178,Szászfalvi László,Fidesz,szaszfalvi,
179,Szatmáry Kristóf,Fidesz,szatmarykristof,
180,Székely Sándor,független,szekelysandorSZOLIDARITAS,
181,Szijjártó Péter,Fidesz,szijjarto.peter.official,
182,Szilágyi György,Jobbik,szilagyi.gy.jobbik,
183,Tasó László,Fidesz,tasolaszlokepviselo,
184,Tessely Zoltán,Fidesz,tesselyzoltan,
185,Tordai Bence,Párbeszéd,TordaiBenceParbeszed,
186,Törő Gábor,Fidesz,torogabor1962,
187,Tóth Csaba,MSZP,-,
188,Tuzson Bence,Fidesz,tuzson.bence,
189,Ungár Péter,LMP,UngarPeterLMP,
190,V. Németh Zsolt,Fidesz,vnemethzsolt,
191,Varga Gábor,Fidesz,vargagaborfidesz,
192,Varga Mihály,Fidesz,VargaMihalyKepviselo,
193,Varga Zoltán,DK,varga.zoltan.dk,
194,Vargha Tamás,Fidesz,varghatamasjanos,
195,Varju László,DK,dk.varju,
196,Vécsey László,Fidesz,vecsey.laszlo,
197,Vigh László,Fidesz,vigh.laszlo.01,
198,Volner János,Volner Party,volner2022,
199,Witzmann Mihály,Fidesz,witzmannm,
200,Z. Kárpát Dániel,Jobbik,zkarpatdaniel,
201,Zsigó Róbert,Fidesz,zsigorobert,
